hotelname,location,description,rating,location_splitted,city
Maisons du Monde Hôtel & Suites - Marseille Vieux Port,"Vieux Port - La Canebière, Marseille","Surplombant le Vieux-Port, l’établissement Maisons du Monde Hôtel & Suites - Marseille Vieux Port vous accueille au cœur de Marseille. Il propo..",8.4,Marseille,Marseille
Residhome Marseille,"Euromed - La Joliette, Marseille","Le Residhome Marseille est situé dans le quartier Euromed-La Joliette à Marseille, à 2,7 km de l’anse de la Fausse Monnaie et à 2,8 km de la pl..",8.5,Marseille,Marseille
Sofitel Marseille Vieux-Port,"Vieux Port - La Canebière, Marseille","Doté d’un accès gratuit au spa, au sauna et au hammam, le Sofitel Marseille Vieux-Port est également pourvu de 3 terrasses surplombant le Vieux..",8.3,Marseille,Marseille
New Hotel Le Quai - Vieux Port,"Vieux Port - La Canebière, Marseille","Situé dans le centre de Marseille, le New Hotel Le Quai - Vieux Port donne sur le Vieux-Port et la rue commerçante La Canebière. ",8.4,Marseille,Marseille
DOMITYS LA BADIANE,"Euromed - La Joliette, Marseille","Situé à Marseille, en Provence-Alpes-Côte d'Azur, à proximité de la station de métro Joliette et du centre commercial Les Terrasses du Port, le..",8.4,Marseille,Marseille
Le Rhul,"La Corniche, Marseille","Offrant une vue directe sur la Méditerranée, l’hôtel Le Rhul se situe sur la Corniche, à Marseille. ",8.2,Marseille,Marseille
Hôtel Life Marseille VP - Vieux Port,"Vieux Port - La Canebière, Marseille","L'Hôtel Life Marseille VP - Vieux Port occupe un bâtiment en pierre du XVIIIe siècle situé en face du Vieux-Port, dans le centre-ville de Marse..",8.3,Marseille,Marseille
Mercure Marseille Canebière Vieux-Port,"Vieux Port - La Canebière, Marseille","Doté d'un bar, d'un salon commun et offrant une vue sur la ville, le Mercure Marseille Canebière Vieux-Port est situé à Marseille, à 2,3 km de ..",8.2,Marseille,Marseille
Ketia p,"Vieux Port - La Canebière, Marseille",Hébergement géré par un particulier,8.2,Marseille,Marseille
Le Petit Nice - Passedat,"La Corniche, Marseille",Le Petit Nice - Passedat est un hôtel de luxe situé à 3 km du centre de Marseille. ,8.1,Marseille,Marseille
Twenty's Business Flats Marseille Timone,"Baille-La Timone, Marseille","Le Twenty's Business Flats Marseille Timone est situé dans le quartier de Baille-La Timone à Marseille, à 500 mètres de la station de métro La ..",8.2,Marseille,Marseille
